"Name","Debut","Final","Position","Height","Weight","Birthday","School","HOF","Active","G","PTS","TRB","AST","FG.","FG3.","FT.","eFG.","PER","WS","RowNumber"
"Dave Johnson",1993,1994,"['Guard', 'Forward']",79,210,"November 16, 1970","['Syracuse']","False","False",59,3.5,1.1,0.3,36.5,20,66.3,37.2,7.5,-0.3,2351
"David Johnson",2022,2022,"['Guard']",77,210,"February 26, 2001","['Louisville']","False","True",2,0,0,0,0,0,NA,0,-20,0,2352
"DeMarco Johnson",2000,2000,"['Forward']",81,245,"October 6, 1975","['UNC Charlotte']","False","False",5,1.2,1.4,0,33.3,NA,NA,33.3,0.5,-0.1,2353
"Dennis Johnson",1977,1990,"['Guard']",76,185,"September 18, 1954","['Harbor College', ' Pepperdine']","True","False",1100,14.1,3.9,5,44.5,17.2,79.7,44.8,14.6,82.6,2354
"DerMarr Johnson",2001,2008,"['Forward']",81,201,"May 5, 1980","['Cincinnati']","False","False",344,6.2,2.2,0.9,41.1,33.6,78.9,48.5,11,6.4,2355
"Ed Johnson",1969,1971,"['Center']",80,205,"June 17, 1944","['Tennessee State']","False","False",166,12.3,10.2,1.1,47.4,33.3,55.4,47.4,14,8.5,2356
"Eddie Johnson",1978,1987,"['Guard']",74,180,"February 24, 1955","['Auburn']","False","False",675,15.1,2.3,5.1,47.6,32.6,79.1,48.2,16,41,2357
"Eddie Johnson",1982,1999,"['Forward', 'Guard']",79,215,"May 1, 1959","['Illinois']","False","False",1199,16,4,2.1,47.2,33.5,84,48.9,15.9,65.6,2358
"Eric Johnson",1990,1990,"['Guard']",74,205,"February 7, 1966","['Baylor', ' Nebraska']","False","False",48,1.1,0.6,1.3,23.8,16.7,76.5,24.4,4.6,-0.4,2359
"Ervin Johnson",1994,2006,"['Center']",83,245,"December 21, 1967","['New Orleans']","False","False",845,4.1,6.1,0.5,50.5,20,60.5,50.6,12.2,37.8,2360
"Frank Johnson",1982,1994,"['Guard']",73,185,"November 23, 1958","['Wake Forest']","False","False",596,8.3,1.7,4.2,43.9,21.8,76,44.5,12.7,17.2,2361
"George Johnson",1971,1974,"['Center']",83,245,"June 19, 1947","['Stephen F. Austin']","False","False",136,3.7,5,0.6,44.9,NA,53.9,44.9,8.6,3,2362
"George Johnson",1973,1986,"['Center', 'Forward']",83,205,"December 18, 1948","['Dillard University']","False","False",904,4.8,6.5,1,45.1,50,69.4,45.1,12.4,33,2363
"George Johnson",1979,1986,"['Forward', 'Center']",79,210,"December 8, 1956","[""St. John's""]","False","False",464,9.1,5.6,1.8,46.3,18.9,77.9,46.5,14,14.1,2364
"Gus Johnson",1964,1973,"['Forward', 'Center']",78,230,"December 13, 1938","['Boise State', ' Idaho']","True","False",631,16.2,12.1,2.5,44,19,70,44,16.7,36.9,2365
"Harold Johnson",1947,1947,"['Center']",78,240,"January 30, 1920","['Indiana State University']","False","False",27,0.6,NA,0.4,20,NA,50,NA,NA,0.4,2366
"Ivan Johnson",2012,2013,"['Forward']",80,230,"April 10, 1984","['Oregon', ' Cal State San Bernardino']","False","False",125,6.5,3.9,0.6,51.7,15.8,66.2,51.9,15.1,4.5,2367
"JaJuan Johnson",2012,2012,"['Forward']",82,221,"February 8, 1989","['Purdue']","False","False",36,3.2,1.6,0.2,44.6,NA,66.7,44.6,11.4,0.2,2368
"Jalen Johnson",2022,2025,"['Forward']",81,220,"December 18, 2001","['Duke']","False","True",184,11,6.3,2.6,50.4,32.3,71.2,55,15.9,8.4,2369
"James Johnson",2010,2025,"['Forward']",79,240,"February 20, 1987","['Wake Forest']","False","True",786,7.4,3.5,2,47.3,30,67.8,51.2,13.9,27.4,2370
"Joe Johnson",2002,2022,"['Guard', 'Forward']",79,240,"June 29, 1981","['Arkansas']","False","False",1277,16,4,3.9,44.1,37.1,80.2,49.7,15.4,82.9,2371
"John Johnson",1971,1982,"['Forward']",79,200,"October 18, 1947","['Northwest College', ' Iowa']","False","False",869,12.9,5.5,3.8,44.6,0,77.9,44.6,14.1,37.1,2372
"Kannard Johnson",1988,1988,"['Forward']",81,220,"June 24, 1965","['Western Kentucky']","False","False",4,0.5,0,0,33.3,NA,NA,33.3,-4.6,-0.1,2373
"Keldon Johnson",2020,2025,"['Guard']",77,220,"October 11, 1999","['Kentucky']","False","True",370,15.6,5.4,2.2,46.7,35.2,76.2,53.1,14.9,16.7,2374
"Ken Johnson",1986,1986,"['Forward']",80,240,"November 7, 1962","['USC', ' Michigan State']","False","False",64,4.1,3.8,0.3,52.8,NA,43.5,52.8,9.3,0.8,2375
"Ken Johnson",2003,2003,"['Forward', 'Center']",83,240,"February 1, 1978","['Ohio State']","False","False",16,2,2,0,40.5,NA,33.3,40.5,6.1,0,2376
"Keon Johnson",2022,2025,"['Guard']",77,186,"March 10, 2002","['Tennessee']","False","True",161,8.2,2.7,1.9,37.9,32.4,76.5,45.6,9.9,-0.3,2377
"Keshad Johnson",2025,2025,"['Forward']",78,225,"June 23, 2001","['San Diego State', ' Arizona']","False","True",16,2.7,1.8,0.3,69.2,42.9,44.4,75,19.1,0.4,2378
"Kevin Johnson",1988,2000,"['Guard']",73,180,"March 4, 1966","['California']","False","False",735,17.9,3.3,9.1,49.3,30.5,84.1,50.1,20.7,92.8,2379
"Keyontae Johnson",2024,2024,"['Forward']",77,230,"May 24, 2000","['Florida', ' Kansas State']","False","True",9,1.2,1.1,0.4,31.3,33.3,NA,34.4,1.6,-0.1,2380
"Larry Johnson",1978,1978,"['Guard']",75,205,"November 28, 1954","['Kentucky']","False","False",4,1.5,1.3,1.8,23.1,NA,0,NA,8,-0.1,2381
"Larry Johnson",1992,2001,"['Forward']",79,250,"March 14, 1969","['Odessa College', ' UNLV']","False","False",707,16.2,7.5,3.3,48.4,33.2,76.6,50.5,16.3,69.7,2382
"Lee Johnson",1981,1981,"['Forward']",83,205,"June 16, 1957","['Montana', ' Texas A&M University-Commerce']","False","False",12,1.4,1.8,0.1,28,NA,60,28,0.8,-0.2,2383
"Linton Johnson",2004,2009,"['Forward']",80,205,"June 13, 1980","['Tulane']","False","False",151,3.9,3.3,0.4,41.6,30.5,69.9,44.4,10.9,2.6,2384
"Magic Johnson",1980,1996,"['Guard', 'Forward']",81,215,"August 14, 1959","['Michigan State']","True","False",906,19.5,7.2,11.2,52,30.3,84.8,53.3,24.1,155.8,2385
"Marques Johnson",1978,1990,"['Forward', 'Guard']",79,218,"February 8, 1956","['UCLA']","False","False",691,20.1,7,3.6,51.8,15.2,73.9,51.9,20.1,79.8,2386
"Mickey Johnson",1975,1986,"['Forward']",82,190,"August 31, 1952","['Aurora University']","False","False",904,14.1,7.2,3,44.9,16.5,80,45,16.9,58.6,2387
"Neil Johnson",1967,1973,"['Forward', 'Center']",79,220,"April 17, 1943","['Tulsa', ' Creighton']","False","False",380,6.9,5.3,1.7,47.9,16.7,67.3,47.9,13.9,12.6,2388
"Nick Johnson",2015,2015,"['Guard']",75,202,"December 22, 1992","['Arizona']","False","False",28,2.6,1.4,0.4,34.7,23.8,68,38,4.8,-0.1,2389
"Ollie Johnson",1973,1982,"['Forward']",78,200,"May 11, 1949","['Temple']","False","False",690,7.7,3.3,1.8,49.6,15,82.7,49.6,12.8,27,2390
"Omari Johnson",2018,2018,"['Forward']",81,220,"November 26, 1989","['Oregon State']","False","False",4,5.5,2.8,1.8,42.9,33.3,NA,52.4,10.5,0.1,2391
"Orlando Johnson",2013,2016,"['Guard']",77,220,"March 11, 1989","['Loyola Marymount', ' UC Santa Barbara']","False","False",103,3.2,1.7,0.7,35.8,31.1,72.7,43,8.5,1.4,2392
"Ralph Johnson",1950,1953,"['Guard']",71,170,"December 6, 1921","['Huntington University']","False","False",204,8.4,3.6,2.8,32.7,NA,74,NA,8.8,5.3,2393
"Reggie Johnson",1981,1984,"['Forward', 'Center']",81,205,"June 25, 1957","['Tennessee']","False","False",305,8.4,4.1,0.9,50.5,14.3,71.6,50.5,12.5,11,2394
"Rich Johnson",1969,1971,"['Center']",79,210,"December 18, 1946","['Grambling State University']","False","False",135,5,3.1,0.4,46.1,NA,63.3,46.1,11.2,2.2,2395
"Ron Johnson",1961,1961,"['Forward']",80,215,"July 20, 1938","['Minnesota']","False","False",14,2.6,2.1,0.1,30.2,NA,64.7,NA,7.5,-0.1,2396
"Stanley Johnson",2016,2023,"['Forward']",78,242,"May 29, 1996","['Arizona']","False","True",449,6.2,3.1,1.5,39.1,30.5,74.8,45.6,9.2,6.9,2397
"Steffond Johnson",1987,1987,"['Forward']",80,240,"November 4, 1962","['LSU', ' San Diego State']","False","False",29,2.6,1.5,0.2,42.2,0,52.6,42.2,4.7,-0.2,2398
"Steve Johnson",1982,1991,"['Center', 'Forward']",82,235,"November 3, 1957","['Oregon State']","False","False",626,11.7,5.5,1.2,57.2,0,63.4,57.2,15.3,26.9,2399
"Stew Johnson",1968,1976,"['Forward', 'Center']",80,220,"August 19, 1944","['Murray State']","False","False",647,16.3,6.6,1.5,42.3,30.8,78.8,43.5,14.9,11.8,2400
"Trey Johnson",2009,2012,"['Guard']",77,218,"August 30, 1984","['Alcorn State', ' Jackson State University']","False","False",23,2.6,0.9,0.7,38.5,33.3,94.7,39.4,8.1,0,2401
"Tyler Johnson",2015,2022,"['Guard']",75,186,"May 7, 1992","['Fresno State']","False","False",354,9.8,3,2.3,42.6,36,77.9,50.1,13,16.5,2402
"Vinnie Johnson",1980,1992,"['Guard']",74,200,"September 1, 1956","['Baylor']","False","False",984,12,3.2,3.3,46.4,25.4,74,46.8,15.2,50.8,2403
"Wesley Johnson",2011,2019,"['Forward', 'Guard']",79,215,"July 11, 1987","['Iowa State', ' Syracuse']","False","False",609,7,3.2,1.1,40.4,33.7,74.1,48.1,10,10.7,2404
"Darius Johnson-Odom",2013,2014,"['Guard']",74,215,"September 28, 1989","['Marquette']","False","False",7,0,0.9,0.3,0,0,0,0,-18.4,-0.3,2405
"Nate Johnston",1990,1990,"['Forward']",80,210,"December 18, 1966","['University of Tampa']","False","False",21,2.2,1.1,0,37.5,25,69.2,38.5,14.1,0.1,2406
"Neil Johnston",1952,1959,"['Center']",80,210,"February 4, 1929","['Ohio State']","True","False",516,19.4,11.3,2.5,44.4,NA,76.8,NA,24.9,92,2407
"Jim Johnstone",1983,1983,"['Center', 'Forward']",83,245,"September 20, 1960","['Wake Forest']","False","False",23,1.3,2,0.5,36.7,NA,45,36.7,4.5,-0.1,2408
"Nikola Jokić",2016,2025,"['Center', 'Forward']",83,284,"February 19, 1995","","False","True",745,21.8,10.9,7.2,56,36,82.4,59.6,28.5,128,2409
"Howie Jolliff",1961,1963,"['Forward', 'Center']",79,218,"July 20, 1938","['Ohio University']","False","False",138,2.8,4.2,0.8,36.7,NA,52.7,NA,7.9,0.8,2410
"Alvin Jones",2002,2002,"['Center']",83,265,"September 9, 1978","['Georgia Tech']","False","False",23,1.1,1.6,0.1,40,NA,50,40,6.2,0.1,2411
"Anthony Jones",1987,1990,"['Guard', 'Forward']",78,195,"September 13, 1962","['Georgetown', ' UNLV']","False","False",164,3.6,1.3,0.7,39.3,30.6,74,40.6,9.8,0.8,2412
"Askia Jones",1995,1995,"['Guard']",77,200,"December 3, 1971","['Kansas State']","False","False",11,4.1,1,1.5,34.1,16.7,81.3,36.4,8.3,-0.1,2413
"Bill Jones",1989,1989,"['Forward']",79,175,"March 18, 1966","['Iowa']","False","False",37,3.5,1.3,0.5,49,0,67.4,49,13.9,0.6,2414
"Bobby Jones",1975,1986,"['Forward']",81,210,"December 18, 1951","['UNC']","True","False",941,12.1,6.1,2.7,56,0,76.6,56,18.2,94.1,2415
"Bobby Jones",2007,2008,"['Forward']",79,215,"January 9, 1984","['Washington']","False","False",91,3.2,1.6,0.5,44.2,30.6,68.5,48.3,9.7,1.1,2416
"Caldwell Jones",1974,1990,"['Center', 'Forward']",83,217,"August 4, 1950","['Albany State University']","False","False",1299,7.9,8.2,1.4,47.4,12.3,75.6,47.5,12.1,66.2,2417
"Carlik Jones",2022,2023,"['Guard']",73,185,"December 23, 1997","['Radford', ' Louisville']","False","True",12,2,0.7,0.9,29.2,42.9,70,35.4,7.4,0,2418
"Charles Jones",1984,1998,"['Forward', 'Center']",81,215,"April 3, 1957","['Albany State University']","False","False",726,2.5,4.5,0.9,48,0,61.8,48,9.2,24.6,2419
"Charles Jones",1985,1989,"['Forward']",80,215,"January 12, 1962","['Louisville']","False","False",201,5,3.8,1,49.3,11.1,61.1,49.4,12.2,4.5,2420
"Charles Jones",1999,2000,"['Guard']",75,180,"July 17, 1975","['Rutgers University', ' Long Island University']","False","False",85,3.5,1.2,1.6,32.4,32.4,62.2,41.4,9.4,0,2421
"Colby Jones",2024,2025,"['Guard']",78,205,"May 28, 2002","['Xavier']","False","True",69,3.2,1.8,0.9,43.5,25.4,63,48,10.7,0.6,2422
"Collis Jones",1972,1975,"['Forward']",79,203,"July 3, 1949","['Notre Dame']","False","False",298,8.1,4.7,1.1,45.4,21.4,70.2,45.5,13.4,10.7,2423
"Dahntay Jones",2004,2017,"['Guard', 'Forward']",78,225,"December 27, 1980","['Rutgers University', ' Duke']","False","False",624,5.4,1.7,0.8,43.9,32.9,75.1,45.9,9.5,9.9,2424
"Damian Jones",2017,2024,"['Forward', 'Center']",83,245,"June 30, 1995","['Vanderbilt']","False","True",279,4.9,3.1,0.7,65.6,35.1,71.5,67.2,15.4,11.3,2425
"Damon Jones",1999,2009,"['Guard']",75,185,"August 25, 1976","['Houston']","False","False",657,6.6,1.6,2.7,40.7,39,72.7,53.3,12.4,28,2426
"DeQuan Jones",2013,2013,"['Forward']",80,221,"June 20, 1990","['Miami (FL)']","False","False",63,3.7,1.7,0.3,43.6,25.7,66.7,45.6,8.4,0.1,2427
"Derrick Jones Jr.",2017,2025,"['Forward']",77,210,"February 15, 1997","['UNLV']","False","True",497,7.2,3.3,0.7,50.7,32.5,70.6,56.7,13,23.7,2428
"Dillon Jones",2025,2025,"['Forward']",77,240,"October 29, 2001","['Weber State']","False","True",54,2.5,2.2,1.1,38.3,25.4,60.7,44.4,8.1,0.8,2429
"Dominique Jones",2011,2013,"['Guard']",76,215,"October 15, 1988","['South Florida']","False","False",80,3.1,1.4,1.8,36.6,9.5,72.9,37,11.9,0.3,2430
"Dontae' Jones",1998,1998,"['Forward']",80,220,"June 2, 1975","['Northeast Mississippi Community College', ' Mississippi State']","False","False",15,2.9,0.6,0.3,33.3,26.1,NA,38.6,3.8,-0.3,2431
"Dwayne Jones",2006,2010,"['Forward', 'Center']",83,250,"June 9, 1983","[""Saint Joseph's""]","False","False",82,1.3,2.3,0.1,50.8,0,49.4,50.8,10.1,1.4,2432
"Dwight Jones",1974,1983,"['Forward', 'Center']",82,210,"February 27, 1952","['Houston']","False","False",766,8.1,5.9,1.2,47.1,50,74,47.2,13.2,27.6,2433
"Earl Jones",1985,1986,"['Center']",84,210,"January 13, 1961","['University of the District of Columbia']","False","False",14,0.9,0.7,0.3,38.5,NA,75,38.5,0.2,-0.1,2434
"Eddie Jones",1995,2008,"['Guard', 'Forward']",78,190,"October 20, 1971","['Temple']","False","False",954,14.8,4,2.9,43.7,37.3,80.9,50.5,16.7,100.6,2435
"Edgar Jones",1981,1986,"['Forward', 'Center']",82,225,"June 17, 1956","['Nevada']","False","False",363,9,4.8,0.9,50.6,26.2,71,51,15.1,15,2436
"Fred Jones",2003,2009,"['Guard', 'Forward']",76,210,"March 11, 1979","['Oregon']","False","False",430,7.5,2.2,2.3,41.1,35.3,80.9,47.6,11.3,16.5,2437
"Herbert Jones",2022,2025,"['Forward']",80,210,"October 6, 1998","['Alabama']","False","True",240,10.1,3.8,2.5,47.7,36.6,82.4,54.5,12.4,15.6,2438
"Hutch Jones",1983,1984,"['Forward']",80,190,"September 1, 1959","['Buffalo State', ' Vanderbilt']","False","False",13,3.2,1.3,0.3,42.5,NA,70,42.5,9.2,0,2439
"Isaac Jones",2025,2025,"['Forward']",80,245,"July 11, 2000","['Wenatchee Valley College', ' Idaho', ' Washington State']","False","True",40,3.4,1.4,0.3,65.1,37.5,63.9,66.9,15.2,0.7,2440
"Jake Jones",1972,1972,"['Guard']",75,180,"May 9, 1949","['Assumption College']","False","False",17,4.5,1.5,0.7,38.9,NA,64.5,NA,8.6,0,2441
"Jalen Jones",2018,2019,"['Guard']",79,220,"May 27, 1993","['SMU', ' Texas A&M']","False","False",32,4.8,2.3,0.3,40,37,67.4,47.7,11,0.4,2442
"James Jones",2004,2017,"['Forward', 'Guard']",80,218,"October 4, 1980","['Miami (FL)']","False","False",709,5.2,1.8,0.5,40.1,40.1,84,53,11.3,25.2,2443
"Jemerrio Jones",2019,2022,"['Forward']",77,174,"April 9, 1995","['Hill College', ' New Mexico State']","False","True",8,3.9,6.5,1.6,38.9,20,50,41.7,12.4,0.3,2444
"Jimmy Jones",1968,1977,"['Guard']",76,188,"January 1, 1945","['Grambling State University']","False","False",686,16.6,4.3,4.5,50.9,25,78.5,51,17,78.8,2445
"Johnny Jones",1968,1969,"['Forward']",79,205,"March 12, 1943","['California State University', ' Los Angeles']","False","False",80,5.2,2.9,0.8,35.8,0,59.7,35.8,10.5,-0.6,2446
"Jumaine Jones",2000,2007,"['Forward']",80,218,"February 10, 1979","['Georgia']","False","False",471,7.1,4.2,0.9,42.4,34.9,70.4,49.4,12.5,15.1,2447
"K.C. Jones",1959,1967,"['Guard']",73,200,"May 25, 1932","['San Francisco']","True","False",676,7.4,3.5,4.3,38.7,NA,64.7,NA,10.4,38.6,2448
"Kai Jones",2022,2025,"['Forward', 'Center']",83,218,"January 19, 2001","['Texas']","False","True",107,3.5,2.4,0.4,67.1,23.1,68.2,68.3,14.8,2.8,2449
"Kevin Jones",2013,2013,"['Forward']",80,251,"August 25, 1989","['West Virginia']","False","False",32,3,2.4,0.3,40.2,NA,60,40.2,11.1,0.2,2450
"Larry Jones",1965,1974,"['Guard', 'Forward']",74,180,"September 22, 1942","['Toledo']","False","False",551,19.1,4.9,3.7,45.3,27.7,79.3,46.3,18.8,56.4,2451
"Major Jones",1980,1985,"['Forward']",81,225,"July 9, 1953","['Albany State University']","False","False",374,4.4,3.5,0.6,49,11.1,58.6,49,11.3,5.5,2452
"Mark Jones",1984,1984,"['Guard']",73,175,"April 10, 1961","['St. Bonaventure']","False","False",6,1.2,0.3,0.8,50,0,50,50,14.7,0,2453
"Mark Jones",2005,2005,"['Guard']",78,215,"May 25, 1975","['Minnesota', ' Central Florida']","False","False",10,2.3,1.3,0.6,29,0,50,29,4.4,-0.1,2454
"Mason Jones",2021,2025,"['Guard']",76,200,"July 21, 1998","['Connors State College', ' Arkansas']","False","True",51,4.4,1.5,1.2,42.7,32.9,66.3,51.2,13.2,0.6,2455
"Nick Jones",1968,1973,"['Guard']",74,190,"March 28, 1945","['Oregon']","False","False",198,5.2,1.1,1.3,41,0,76.2,41,10.2,1.9,2456
"Ozell Jones",1985,1986,"['Center', 'Forward']",83,235,"November 20, 1960","['Wichita State', ' Cal State Fullerton']","False","False",70,3.5,3.4,0.8,58.2,0,39.8,58.2,11.1,1.2,2457
"Perry Jones",2013,2015,"['Forward']",83,235,"September 24, 1991","['Baylor']","False","False",143,3.4,1.8,0.4,42,29.3,66,45.9,8.5,1.7,2458
"Popeye Jones",1994,2004,"['Forward']",80,250,"June 17, 1970","['Murray State']","False","False",535,7,7.4,1.3,44.7,28.1,75.1,45,13.3,22,2459
"Rich Jones",1970,1977,"['Forward', 'Center']",78,220,"December 27, 1946","['Illinois', ' Memphis']","False","False",508,15.6,7.4,2.7,42,30.3,76.9,42.9,14.1,24.7,2460
"Robin Jones",1977,1978,"['Forward', 'Center']",81,225,"February 2, 1954","['Saint Louis']","False","False",75,4.9,4.1,1.1,47,NA,58.8,NA,12.8,2.1,2461
"Sam Jones",1958,1969,"['Guard', 'Forward']",76,198,"June 24, 1933","['NC Central']","True","False",871,17.7,4.9,2.5,45.6,NA,80.3,NA,18.7,92.3,2462
"Shelton Jones",1989,1989,"['Forward']",81,210,"April 6, 1966","[""St. John's""]","False","False",51,4.8,2.2,0.8,44.5,0,72.5,44.5,10.4,0.3,2463
"Solomon Jones",2007,2014,"['Forward']",82,230,"July 16, 1984","['South Florida']","False","False",281,3,2.3,0.4,46.7,11.1,71.7,46.7,10.2,5,2464
"Spencer Jones",2025,2025,"['Forward']",79,225,"June 14, 2001","['Stanford']","False","True",20,1.3,0.9,0.3,32.4,5.9,100,33.8,4.5,-0.1,2465
"Steve Jones",1968,1976,"['Guard', 'Forward']",77,205,"October 17, 1942","['Oregon']","False","False",704,15.2,3.5,2.2,44.4,33.8,82.2,45.4,13.8,36.9,2466
"Terrence Jones",2013,2019,"['Forward']",81,252,"January 9, 1992","['Kentucky']","False","False",234,10.4,5.7,1,50.1,29.7,62.1,52.4,17.1,14.7,2467
"Tre Jones",2021,2025,"['Guard']",73,185,"January 8, 2000","['Duke']","False","True",297,8.4,2.8,4.7,48.8,31.1,83.9,52.3,15.3,14.5,2468
"Tyus Jones",2016,2025,"['Guard']",73,196,"May 10, 1996","['Duke']","False","True",682,7.7,2,4.4,44.5,37.8,82.1,52.1,15,33.9,2469
"Wah Wah Jones",1950,1952,"['Forward']",76,225,"July 14, 1926","['Kentucky']","False","False",140,10.2,5.1,3.1,35.5,NA,75.7,NA,13.6,8.8,2470
"Wali Jones",1965,1976,"['Guard']",74,180,"February 14, 1942","['Villanova']","False","False",678,9.8,2.2,3.1,40.9,24,80.2,40.9,11,16.1,2471
"Wil Jones",1970,1978,"['Forward']",80,205,"February 27, 1947","['Albany State University']","False","False",725,11.7,7.7,2,45.9,14.3,73.3,45.9,13.5,37.2,2472
"Willie Jones",1961,1965,"['Guard']",75,185,"June 29, 1936","['Northwestern']","False","False",272,7.4,2.8,2,39.3,NA,68.2,NA,11.2,0.8,2473
"Adonis Jordan",1994,1999,"['Guard']",71,170,"August 21, 1970","['Kansas']","False","False",10,2.1,0.6,2.2,29.6,25,50,35.2,8,0,2474
"Charles Jordan",1976,1976,"['Forward']",80,220,"January 31, 1954","['Canisius']","False","False",71,5.2,3,0.7,43.4,20,59.7,43.7,9.7,0.3,2475
"DeAndre Jordan",2009,2025,"['Center']",83,265,"July 21, 1988","['Texas A&M']","False","True",1111,8.5,9.7,0.9,67.4,15.4,47.5,67.4,18.3,98.8,2476
"Eddie Jordan",1978,1984,"['Guard']",73,170,"January 29, 1955","['Rutgers University']","False","False",420,8.1,1.9,3.8,41.4,22.4,76.3,41.8,13.1,8.8,2477
"Jerome Jordan",2012,2015,"['Center']",84,253,"September 29, 1986","['Tulsa']","False","False",65,2.8,2,0.3,52.8,NA,85.2,52.8,17.1,1.7,2478
"Michael Jordan",1985,2003,"['Guard', 'Forward']",78,198,"February 17, 1963","['UNC']","True","False",1072,30.1,6.2,5.3,49.7,32.7,83.5,50.9,27.9,214,2479
"Reggie Jordan",1994,2000,"['Guard']",76,195,"January 26, 1968","['New Mexico State']","False","False",186,2.7,1.8,1,43.3,33.3,58.5,43.6,14.1,3,2480
"Thomas Jordan",1993,1993,"['Forward', 'Center']",82,220,"May 23, 1968","['Oklahoma State']","False","False",4,11,4.8,0.8,43.9,NA,47.1,43.9,6.9,-0.2,2481
"Walter Jordan",1981,1981,"['Forward']",79,198,"February 19, 1956","['Purdue']","False","False",30,2.3,1.4,0.4,38.7,NA,58.8,38.7,8.5,-0.1,2482
"Phil Jordon",1957,1963,"['Center', 'Forward']",82,205,"September 12, 1933","['Whitworth']","False","False",442,10.9,6.9,1.7,39.8,NA,69.4,NA,13.4,9.9,2483
"Johnny Jorgensen",1948,1949,"['Guard', 'Forward']",74,185,"December 28, 1921","['DePaul']","False","False",51,2.3,NA,0.6,36.6,NA,73.5,NA,NA,1.3,2484
"Noble Jorgensen",1947,1953,"['Center']",81,228,"May 18, 1925","['Iowa']","False","False",268,8.8,4.3,1.2,36,NA,74.2,NA,13.1,13.5,2485
"Roger Jorgensen",1947,1947,"['Center', 'Forward']",77,200,"September 2, 1920","['Ohio State']","False","False",28,1.5,NA,0,25.9,NA,68.4,NA,NA,0.1,2486
"Cory Joseph",2012,2025,"['Guard']",74,200,"August 20, 1991","['Texas']","False","True",866,6.7,2.4,2.9,44,35,78.6,49.2,12,32.1,2487
"Garth Joseph",2001,2001,"['Center']",86,315,"August 8, 1973","['College of Saint Rose']","False","False",4,0.5,0.5,0.3,20,NA,0,20,-5,-0.1,2488
"Kris Joseph",2013,2013,"['Forward']",79,210,"December 17, 1988","['Syracuse']","False","False",10,0.9,0.7,0.1,14.3,0,62.5,14.3,0.6,-0.1,2489
"Yvon Joseph",1986,1986,"['Center']",83,245,"October 31, 1957","['Georgia Tech']","False","False",1,2,0,0,NA,NA,100,NA,12.8,0,2490
"Nikola Jović",2023,2025,"['Guard', 'Forward']",82,209,"June 9, 2003","","False","True",107,8.7,3.8,2.2,45,37,80.4,55.4,13.1,4.7,2491
"Kevin Joyce",1974,1976,"['Guard']",75,190,"June 27, 1951","['South Carolina']","False","False",180,10.6,1.7,3.2,41,18.5,78.6,41.4,10,2.8,2492
"Butch Joyner",1969,1969,"['Forward']",77,200,"April 26, 1945","['Indiana']","False","False",2,0,0.5,0,NA,NA,NA,NA,-0.3,0,2493
"Jeff Judkins",1979,1983,"['Guard', 'Forward']",78,185,"March 23, 1956","['Utah']","False","False",272,5.4,1.6,1,47.8,31.5,81.2,48.7,12.9,6.3,2494
"Johnny Juzang",2023,2025,"['Guard']",79,215,"March 17, 2001","['Kentucky', ' UCLA']","False","True",102,7.9,2.5,1,42.1,36.3,80.3,54.1,10.7,1.8,2495
"Mfiondu Kabengele",2020,2023,"['Forward']",81,250,"August 14, 1997","['Florida State']","False","True",55,2.6,1.5,0.3,38.3,30.1,85.2,46.9,10.9,0.4,2496
"Whitey Kachan",1949,1949,"['Guard']",74,175,"September 15, 1925","['DePaul']","False","False",52,2.2,NA,0.7,26.8,NA,64.3,NA,NA,0.7,2497
"George Kaftan",1949,1953,"['Forward']",75,190,"February 22, 1928","['Holy Cross']","False","False",212,7.5,3.1,1.9,37,NA,65,NA,13.8,8.9,2498
"Ed Kalafat",1955,1957,"['Center', 'Forward']",78,245,"October 13, 1932","['Minnesota']","False","False",209,7.1,5.7,1.5,34.5,NA,68.8,NA,11.6,5.3,2499
"Georgios Kalaitzakis",2022,2022,"['Guard', 'Forward']",80,192,"January 2, 1999","","False","False",13,6.6,1.6,0.9,46.3,38.5,46.7,53.7,8.6,-0.1,2500
"Chris Kaman",2004,2016,"['Center']",84,265,"April 28, 1982","['Central Michigan University']","False","False",735,11.2,7.6,1.3,48.9,4.2,74.3,48.9,14.9,24.6,2501
"Frank Kaminsky",2016,2023,"['Forward', 'Center']",84,240,"April 4, 1993","['Wisconsin']","False","True",413,8.8,3.8,1.6,43,34.9,74.6,50.1,14.2,15.9,2502
"Ralph Kaplowitz",1947,1948,"['Guard', 'Forward']",74,170,"May 18, 1919","['NYU']","False","False",105,5.6,NA,0.5,26.3,NA,74.9,NA,NA,5.2,2503
"Jason Kapono",2004,2012,"['Forward']",80,213,"February 4, 1981","['UCLA']","False","False",509,6.7,1.7,0.8,44.2,43.4,83.5,51.7,10.5,10.3,2504
"Tony Kappen",1947,1947,"['Guard']",70,165,"April 13, 1919","","False","False",59,6.5,NA,0.5,23.8,NA,79.5,NA,NA,0.7,2505
"Sergey Karasev",2014,2016,"['Guard', 'Forward']",79,208,"October 26, 1993","","False","False",95,3,1.5,0.9,39.5,28.2,84.2,45.9,8.7,0.8,2506
"Coby Karl",2008,2010,"['Guard']",77,215,"March 6, 1983","['Boise State']","False","False",24,2.4,1.3,1,34.5,25,75,39.7,9.2,0,2507
"George Karl",1974,1978,"['Guard']",74,190,"May 12, 1951","['UNC']","True","False",264,6.5,1.4,3,46.5,22.2,78,46.9,13.2,7.7,2508
